 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2009-2011
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"230195 Barreira";-;4137;14889;10641;9971;11896;38490;16320;13019;19596;2108;5590;4745;469;6275;29996;86;63;4904;729;431;1090;2491;557;34;110;-;-;766;74119;1160;16383;10087;71709;5477;851;1301;184;146380;464;928;5701;111;3353;-;-;-;-;-;-;-;-;-;-
"230200 Barro";38;1904;5395;5610;5347;5479;17743;9177;8148;12904;5193;6322;4058;187;6726;187183;356;45;11019;2246;783;2661;5808;2613;68;165;103;2;19;52593;8691;8317;2815;5063;2017;1548;509;34490;42302;444;3334;6403;844;6601;-;19;14;1;-;7;1;1;1;8
"230205 Barroquinha";338;1706;4040;3059;2172;1823;7574;3843;3331;6465;4361;4700;934;95;4362;15267;161;232;3730;944;631;596;980;1062;38;918;1;3;-;44170;88;3886;5334;3821;401;172;157;110;-;129;1509;3722;48;3034;-;10;2;-;-;-;-;1;-;5
"230210 Baturité";38;1022;5251;5302;5080;4660;19840;11184;11136;24303;5108;9257;6138;227;9756;39201;254;172;10567;1568;831;1036;2581;2301;62;169;1;-;2931;89971;46307;37079;2040;33328;3592;1334;93;4004;78310;463;3683;5341;176;16557;-;15;8;1;-;1;-;3;1;34
"230220 Beberibe";193;1888;7033;6199;5269;8094;23492;11675;12187;26240;7929;11714;10063;125;14869;49884;183;249;13064;1896;3285;2346;3116;4310;239;1053;6;-;504;99264;22549;18551;4269;5800;2203;1977;412;137742;260425;659;3916;3022;509;9459;9;51;24;3;6;5;-;2;5;42
"230230 Bela Cruz";2;910;2934;2375;2165;2856;10984;4142;4135;9639;3992;8092;3976;267;9846;28386;91;262;7690;861;1341;1514;1916;3532;52;89;17;1;10;98775;22215;5714;2663;2130;1410;925;766;9861;235995;309;1461;5191;136;5556;1;28;15;1;-;2;-;-;4;31
"230240 Boa Viagem";-;1265;3841;4041;4464;4352;16281;8567;8823;16848;10378;13268;13224;262;7712;33343;174;364;9689;2239;2911;3787;6095;2205;97;171;13;-;372;112890;37782;3648;1748;2612;922;2113;59;623;27654;429;1134;2772;9;1604;-;38;21;5;-;7;-;18;9;286
"230250 Brejo Santo";-;3488;8999;9176;10506;13898;52725;25524;22564;42842;13752;12236;8780;657;10665;43355;442;102;8758;2609;1817;3133;8065;7665;538;836;19;-;366;120679;150066;32147;9592;14531;5110;1978;11;5447;193653;2022;6407;8722;10535;17631;-;36;7;2;-;8;-;2;1;80
"230260 Camocim";1694;4722;16226;13039;10224;10166;38773;18288;18556;35348;22489;16374;9874;874;17610;49190;389;643;36535;2478;1559;3293;8224;14241;666;1048;94;30;64;117398;9545;16506;5770;2441;1819;752;7;4949;375928;1493;7904;7917;2893;13111;3;353;114;16;1;-;-;16;19;44
"230270 Campos Sales";19;1799;4606;3874;3423;3446;12381;6601;6026;9877;10289;9167;7834;1289;7082;35758;278;112;259;95;1981;1343;4970;181;55;30;6;-;10;78266;4441;15069;9555;8598;2942;4510;12;649;2993;727;2982;7439;197;8315;-;11;12;2;1;8;-;8;3;15
"230280 Canindé";8;3258;11527;9809;9490;11337;39807;21373;21960;44291;10674;16172;13192;613;17290;63763;1038;1048;36895;3609;5275;4295;8526;9436;182;712;2;-;17;143516;47095;26375;8662;5592;4296;377;65;13300;339726;859;7085;6089;1336;14180;1;150;33;14;-;3;-;5;-;33
"230290 Capistrano";-;1496;4413;3987;3469;3603;11581;7260;7598;12753;2394;4945;4930;430;6297;23107;119;49;1687;824;408;1315;3043;913;36;51;-;1;27;53972;4328;9491;1775;4493;431;673;3;619;19809;410;2030;2404;63;5049;-;16;2;-;-;4;-;-;2;11
"230300 Caridade";988;1735;4375;4231;4444;4727;12445;8056;7233;12935;3888;5179;3349;165;4466;18683;202;117;4679;1270;890;2835;1666;2820;459;2189;4;-;4497;58358;49834;10981;4750;4992;1138;669;189;830;91058;478;2557;2995;44;4863;-;4;-;-;-;-;-;-;-;1
"230310 Cariré";-;1300;4989;4297;4490;4990;15804;9330;7232;17153;11184;4913;3334;430;7155;30811;604;215;7621;653;1116;820;1772;2191;326;940;-;-;387;132327;26586;9778;13207;17297;1570;2569;688;1873;6151;1299;719;8066;152;5564;-;23;13;1;-;4;-;4;2;7
"230320 Caririaçu";2702;4812;9950;8311;8008;9395;36689;16071;14106;26116;14836;9687;3210;175;9253;38765;630;351;6540;3289;2716;2003;10646;6844;318;460;20;16;49;90301;47107;3100;5740;28482;1130;439;1825;1780;53044;1415;4543;5395;63;5236;-;19;2;2;-;-;-;2;1;73
"230330 Cariús";7;910;3355;3086;2849;3183;11591;6250;6321;11842;3787;4644;3193;55;2810;15812;332;70;2252;30;46;239;1998;40;24;2;10;-;-;47321;15093;9871;4987;7637;3233;123;244;420;149;153;907;5281;69;13450;-;19;12;-;-;3;-;-;2;5
"230340 Carnaubal";84;1279;3505;3455;2929;3244;11900;6179;6001;10845;8113;5987;4592;149;6563;32699;211;225;4477;334;743;700;4134;4511;70;11;1;46;3586;75987;51878;4573;2409;2443;317;279;68;1590;124101;667;2947;5992;396;9728;-;4;1;2;-;-;-;-;19;2
"230350 Cascavel";99;5011;14564;13868;13797;16471;37353;38088;26759;41600;16609;19490;9850;857;20494;60632;177;408;42279;3137;2264;4010;9558;8865;270;629;4;1;163;196801;46278;26818;18315;35764;6249;3163;724;2090;133018;1257;4654;5778;327;6065;-;58;16;5;-;13;-;3;3;82
"230360 Catarina";99;1473;3935;2918;2584;2759;11670;5501;5574;10434;1225;4102;2589;87;3184;20742;301;17;3979;181;476;590;717;354;13;117;2;264;1486;51578;327;2957;2595;15125;499;252;202;833;213615;1837;1305;3003;123;4129;-;3;1;-;-;2;-;4;-;4
"230365 Catunda";3;925;2484;2040;1372;1676;7034;3145;2692;3915;798;2585;2211;115;2118;10916;16;78;2265;26;159;417;25;108;10;30;-;-;40;27020;8745;430;706;1171;92;148;-;117;7016;111;317;617;12;351;-;14;1;-;-;3;-;-;1;1
"230370 Caucaia";5310;19083;53568;44787;40630;44306;150191;79296;76667;121962;69796;48241;16736;6765;68886;194482;2083;6489;51484;9988;5712;11646;31442;35019;482;2445;12;82;1481;961351;333519;64482;35972;45468;20345;31532;9848;7567;306719;6032;7352;12265;5321;16686;13;193;62;17;6;22;1;6;15;153
"230380 Cedro";12;1974;5242;5548;5046;5534;21444;10838;11275;21545;10522;7006;5788;181;7665;181562;700;123;2146;147;81;1082;3107;2067;54;38;6;-;289;88494;28844;14782;4968;7073;2605;310;30;585;82;600;4595;11291;52;7795;-;22;13;1;2;3;1;-;2;27
"230390 Chaval";5813;1244;3607;2794;2274;2510;7818;3568;2510;5387;1226;4000;1953;148;3319;10295;121;77;-;1;22;25;64;-;2;17;-;-;1;30344;8930;3890;1337;2048;735;122;1165;1162;22433;261;379;1056;4;1924;-;7;-;-;-;-;-;-;1;4
"230393 Choró";-;665;2380;1961;1922;2325;7459;4213;3655;4810;3095;4034;2769;68;2676;8662;241;52;4441;420;1451;844;907;721;44;254;2;-;-;30152;243;2796;542;1715;394;783;15;477;3144;240;896;2295;805;2989;-;9;-;-;-;2;-;-;1;1
"230395 Chorozinho";4;1099;3641;3269;3106;3514;12703;6890;5435;8158;4989;5426;3615;170;8355;26708;62;125;2941;979;257;1197;1471;1464;96;212;-;-;19;62075;469;8049;2719;2690;772;2934;13;509;3496;369;1881;2572;47;1728;-;19;7;12;-;3;-;5;3;36
"230400 Coreaú";39;1115;3089;2447;2484;3353;13952;7658;7881;10056;3952;7581;2486;285;6919;24928;339;41342;4774;1633;963;1735;9342;3085;466;1548;1;6;2;112031;97327;28666;24077;20285;2574;8234;205;2805;160920;427;859;2728;55;4547;1;14;3;3;-;6;-;24;13;109
"230410 Crateús";7;3665;11767;10362;9243;10322;45036;25343;24361;49114;9368;19255;9235;343;12738;67610;547;773;16685;1740;2517;3244;11722;13718;244;1238;7;1;7;176715;49646;7611;9564;12495;2331;4603;52;1324;126108;811;3115;5573;888;6699;797;84;34;1;-;8;-;20;5;85
"230420 Crato";1088;7995;19363;16501;14548;15562;51761;25982;27125;52861;23164;26564;11139;811;20431;94514;512;197;54258;6583;1493;5224;15655;20080;945;1189;23;3231;4195;195433;13712;40019;24118;236537;9758;7512;3938;5630;139989;1630;8543;10283;4050;16306;-;106;33;5;-;7;-;2;4;103
"230423 Croatá";1;883;3394;2858;2736;2414;9318;5345;5784;11667;7230;5648;3479;143;7744;40156;13;94;3373;583;1087;1613;3035;1407;145;213;2;-;486;78348;19954;8648;4416;6815;701;411;328;1026;117894;572;1158;6079;756;5332;11;24;10;4;-;-;-;-;9;61
"230425 Cruz";3153;1617;6329;4906;4683;4814;19965;10200;8013;14118;3221;7424;5187;134;8031;19325;367;62;2576;363;154;752;707;991;51;16;-;-;4;71476;1366;13742;2730;11833;1345;205;177;257;178537;378;776;4687;46;7738;-;4;1;-;-;-;-;17;2;14
"230426 Deputado Irapuan Pinheiro";-;854;1613;1620;1726;2114;8698;4466;4770;8015;2372;2442;2337;14;3963;16968;9;25;2948;368;114;520;1804;540;55;26;3;1;2105;34258;10542;6378;3020;12254;763;27;23;82;29935;414;1069;2719;15;6447;-;15;5;-;-;-;-;1;-;-
"230427 Ererê";3;595;1580;1464;1375;1596;5207;2817;2786;4310;1877;1643;1488;1808;2237;11985;59;53;934;18;316;300;832;36;14;1;4;-;23;20423;9461;9769;1440;11464;677;156;24;116;2751;251;1595;3422;719;6796;-;10;1;1;-;4;-;1;1;-
"230428 Eusébio";29;9256;26564;23866;24991;27065;70850;38507;32388;37007;14250;18697;14074;2209;16483;50321;89;751;99902;1653;3730;5110;5016;12430;773;1782;17;-;5;191960;139058;25825;18334;33201;4695;1759;353;2490;145612;1290;5792;6107;206;5360;-;-;-;-;-;-;-;-;-;-
"230430 Farias Brito";103;2344;6905;5768;5206;5418;21933;10311;11228;25907;9232;7219;4235;515;7415;219048;390;307;20648;1031;968;683;2093;4275;2210;660;5;2;5;64218;24430;7943;2936;13047;1733;241;137;417;27209;356;4211;5649;591;8836;1;13;25;-;1;5;-;3;1;8
"230435 Forquilha";9;1571;4460;3329;3200;3620;15132;7261;6704;12946;5147;6111;257;143;9169;40835;329;183;5403;2021;353;1652;3301;1509;272;188;16;-;72;67585;19654;15338;15333;13024;2323;2580;79;825;660;497;2117;2003;84;5761;23;35;22;4;1;3;-;1;-;92
"230440 Fortaleza";35974;81213;115600;109472;106170;138501;378111;276559;287263;615056;203352;222425;155947;17130;274908;666962;10595;33962;553370;79881;158342;47240;117095;155781;2904;16621;1468;18980;7473;2623751;360065;242360;174961;157028;79447;40053;3944;52650;1766964;38699;79486;88060;10740;48660;344;658;663;266;37;196;21;50;49;594
"230445 Fortim";84;1638;5055;4049;3896;4339;15292;8122;6949;12105;2271;4030;3500;2234;4223;16848;9;50;14862;889;2370;1014;1903;1851;292;345;6;2462;1003;61386;9017;4592;1274;5779;482;1360;259;1179;134226;291;2103;4814;74;6196;-;7;2;2;-;1;-;-;-;-
"230450 Frecheirinha";24;1107;2027;2046;2162;2530;10111;6160;6832;11580;5559;5124;1728;865;6472;24152;52;219;1138;475;209;729;447;1105;51;86;-;-;83;60935;397;13790;3726;1275;1037;1436;6;816;427;389;2588;3791;13;3645;4;17;3;4;-;1;-;-;-;4
"230460 General Sampaio";1029;1384;3562;3225;2817;2750;8063;3800;3223;4997;1041;2357;1023;16;1735;5030;109;40;743;53;107;406;246;165;53;83;1;-;-;18421;258;598;312;872;186;526;3;120;42357;159;468;625;5;588;-;1;-;-;-;-;-;-;-;-
"230465 Graça";1052;899;2429;1774;1910;1777;6549;3605;3356;5913;1980;3899;2699;509;3317;14482;18;190;1943;675;56;618;376;841;72;40;5;1486;30;57656;1216;3315;3042;8666;935;299;90;603;76;618;351;1869;65;2628;-;6;1;2;-;4;-;-;2;11
"230470 Granja";669;1371;6362;6067;4759;4398;15810;6874;6660;11912;10512;12271;2171;330;10351;35940;342;241;200065;878;812;2469;6151;1277;643;2791;1359;3382;154468;422925;22488;14833;7123;12562;1998;4679;168;11282;106811;1219;1012;10372;76;26127;-;5;-;6;1;-;1;4;-;1
"230480 Granjeiro";1472;1133;2636;2153;1654;1820;7161;2678;2341;3968;2278;1516;751;574;4210;13615;25;11;10250;424;335;631;2021;396;1090;291;15;-;1;16369;6749;2433;2313;6768;721;888;408;181;7013;202;1403;1328;4;81;-;4;1;-;-;-;-;-;2;1
"230490 Groaíras";32;967;1672;1224;1313;1713;5838;4063;3293;141670;1063;2729;1391;7;4255;18024;159;68;2824;978;1009;1162;1506;1705;203;693;30;8;63;31669;1086;3947;373;1502;622;1450;51;523;721;484;1816;2844;20;4913;-;1;-;-;-;-;-;-;1;-
"230495 Guaiúba";3607;2341;7670;6672;5544;6121;21376;10922;9671;15208;2258;7556;4430;151;9295;29437;105;146;2504;1315;1388;1856;5030;1089;194;243;3;60;32;444104;6432;124992;8562;6473;2103;72;37;1430;48074;254;1325;1702;105;3625;-;16;8;2;-;-;-;8;-;-
"230500 Guaraciaba do Norte";101;1592;5248;4407;3428;4199;15267;7758;8073;14192;5638;12670;8448;70;10006;48867;94;177;2744;361;599;1233;2413;1009;41;53;-;-;5288;121511;9847;18575;3100;7065;1686;698;5;1850;61311;1125;4328;8129;1869;10491;1;18;8;4;-;7;-;-;2;77
"230510 Guaramiranga";3;372;1237;1154;1045;914;3076;1490;1277;2270;1684;2056;2264;234;1337;3625;32;71;1070;55;816;558;602;255;63;85;-;177;540;13441;7241;4792;1036;820;388;2049;8;798;564;198;525;677;212;1669;-;3;1;-;-;1;-;-;-;20
"230520 Hidrolândia";75;930;2684;2424;2579;2583;10238;5906;5323;12514;4268;5613;3404;157;4203;165793;236;318;6630;1167;1155;887;4292;2762;54;32;12;1;226;64797;359;3833;2861;1697;453;990;-;143;21014;230;1020;2556;50;3166;-;23;11;4;-;-;-;-;4;16
"230523 Horizonte";1008;4439;13589;13030;13900;14711;51687;22538;19639;31548;17568;19265;12783;614;13366;44896;989;417;19868;2157;440;3081;6736;17348;1381;1607;10;2236;3;124394;96572;28386;12057;16718;4818;1769;18;1954;293575;1014;6751;5253;841;12792;-;13;7;9;-;1;1;2;4;13
"230526 Ibaretama";342;509;1918;1915;2055;2134;7980;4151;3486;6434;2449;4469;2328;277;2568;10653;167;206;1995;409;922;1096;286;768;157;109;5;4;26;36640;5570;15231;3301;3465;900;728;184;211;404;173;373;1147;38;8004;1;9;6;5;-;4;-;20;2;6
"230530 Ibiapina";2;2376;6878;4888;3939;4534;18757;9024;9697;18482;16870;8733;5945;107;9822;31716;44;83;4425;709;221;991;3301;2631;67;32;17;1;3342;66678;76031;5779;3400;52084;555;435;-;1751;134638;576;4306;5915;2531;8385;-;57;5;4;-;1;-;5;-;17
"230533 Ibicuitinga";21;903;2217;1776;1632;2491;9205;4828;4409;7598;2558;4336;3905;360;3277;20402;154;72;7027;755;1302;1379;2466;1819;377;613;87;-;429;47874;2703;15203;10206;27396;2672;4502;643;3772;205218;424;1977;3602;986;5541;-;14;3;-;-;3;-;10;-;-
"230535 Icapuí";222;1701;4349;3349;2632;3168;13055;6138;5682;9215;9894;5395;3102;2419;4874;13164;189;135;6678;1363;650;1545;4098;2372;125;1173;33;607;10;46266;1046;9450;4485;5848;1662;531;11;216;17521;458;2539;3929;151;9633;1;21;19;3;-;4;-;9;1;4
"230540 Icó";15;5201;13828;12431;10803;12912;46509;19881;17188;26380;18995;22650;9187;655;11914;47740;1977;407;22274;2497;2048;3081;5488;1991;327;234;247;-;1026;165434;18817;7766;5542;35550;3182;398;169;1130;43437;514;3764;9502;151;8156;-;42;38;10;2;27;1;31;3;72
"230550 Iguatu";281;6766;18439;15996;13848;16237;60957;32865;32432;61213;26147;28705;25874;1258;28405;280041;3239;612;45675;5219;1279;2631;22668;14784;487;941;5;3;3156;224986;42121;45312;32171;62413;17769;6569;10227;4879;124081;1231;4652;17082;7190;29835;1;44;47;6;1;14;1;16;1413;102
"230560 Independência";1097;900;2854;3169;4705;3905;13029;7929;8453;15649;3409;6737;5690;508;4308;21559;186;187;7990;396;96;793;1730;1750;66;33;-;29;1;67181;9556;10399;4173;2506;1436;2975;1;1130;21733;337;1687;3014;16;5423;-;29;13;2;-;2;-;1;1;11
"230565 Ipaporanga";-;2646;5127;5632;4841;4970;12466;8087;8872;15120;5708;2829;1803;342;4814;20675;283;126;1781;329;304;793;1002;621;79;144;2;6;440;69477;16722;3589;970;4694;714;688;-;236;13027;173;2181;2967;2518;3099;-;2;1;1;-;-;-;-;-;-
"230570 Ipaumirim";41;1049;2711;1914;1441;1868;7293;3808;3262;4806;853;3645;774;45;1730;6826;255;120;2308;539;459;1262;2774;474;217;125;76;-;-;16906;458;2883;965;4147;527;2180;65;167;172;143;735;1066;55;1035;-;27;37;12;-;4;-;-;-;-
"230580 Ipu";66;2335;7287;6725;5728;6461;19511;11201;10440;17968;8965;11612;7690;895;14226;76033;252;258;7421;815;1151;1901;3845;1748;229;227;5;3;333;150317;13513;3063;4841;5756;721;1032;112;3447;91327;907;1809;6569;597;2674;-;40;25;11;-;11;-;-;9;18
"230590 Ipueiras";6513;1544;4513;4170;3599;4382;14848;7354;7216;13820;13216;12459;2599;128;11566;49911;64;334;3461;576;123;2104;1787;844;388;294;1;16;4343;138150;74404;15457;6446;14293;2954;7364;101;655;1424;460;2254;5403;2735;5358;-;6;1;-;-;1;-;4;1;4
"230600 Iracema";3;741;2981;2655;2208;2635;12988;7116;7999;15305;3472;4566;4215;441;4640;21445;18;5;5466;1149;369;1003;764;1657;361;125;5;1;-;56092;31;6473;239;2102;538;-;1;392;95932;8;1820;1600;10;3526;-;-;-;-;-;-;-;-;-;-
"230610 Irauçuba";550;2735;8064;6992;6252;5630;16627;7868;6270;11278;2257;7790;2789;862;5307;31755;83;95;8125;1016;1453;3714;2650;2158;657;971;49;16;267;90933;52870;11218;11531;15334;1313;3112;535;1481;29948;420;2576;5596;347;3198;2;46;16;69;1;3;-;1;4;78
"230620 Itaiçaba";933;873;2733;2487;2234;3125;11090;5887;5319;10482;3248;2704;2683;264;5145;15719;4;56;11376;177;77;419;1001;240;43;5;11;361;2;38189;10446;5627;2053;1912;606;811;2;1556;36849;129;1372;2159;278;4425;-;7;8;-;-;1;-;-;-;1
"230625 Itaitinga";2812;2326;7891;5397;5624;5870;22831;9300;7832;13818;6574;8714;5618;50;11040;27738;239;250;9375;881;579;1549;3700;3882;47;243;4;11;1090;71590;71775;17162;3973;4428;2497;2091;1930;274;1747;811;3279;3506;390;4420;-;-;-;-;-;-;-;-;-;-
"230630 Itapagé";9;2780;8708;7863;7250;7739;25680;13329;11909;19888;5135;14431;5290;365;14454;57460;205;549;18295;3320;483;3391;7303;7611;339;714;3;100;22;118159;41400;15524;6086;11639;1769;1784;12;1110;23456;557;4037;5201;637;8447;1;27;7;3;-;1;-;1;-;-
"230640 Itapipoca";110;5811;20015;15016;12911;15000;60458;26355;23877;42015;27078;29656;9306;776;20421;73967;867;907;19390;2047;1778;3765;22629;7686;145;900;37;312;3;286836;27238;31016;15506;15236;4351;2897;583;1752;23366;2805;4097;9413;197;12273;-;51;29;9;1;4;-;3;-;194
"230650 Itapiúna";-;892;3035;2607;2135;2363;7580;5973;5957;10312;3597;5664;3614;133;4463;16338;48;91;1978;1127;233;644;14632;1894;73;91;1;1099;6;58187;45435;10294;3932;7957;653;240;8;246;62471;277;1486;2846;66;5666;-;16;5;7;2;-;-;5;7;1
"230655 Itarema";13;2933;8667;6555;5540;6918;26488;12428;11644;21071;21917;13894;8195;1434;10747;39300;261;160;8473;2382;2531;3493;18045;5704;349;390;64;4;1;129191;68906;12563;7680;12250;3015;2736;4463;7243;36065;1998;4848;9350;4831;9919;-;60;13;31;-;1;-;7;5;31
"230660 Itatira";115;2526;5842;5848;5497;6402;16625;9847;8900;12474;4424;5772;4254;400;5117;23138;371;56;8919;1032;465;1959;6075;1611;381;1747;2;1;194;72094;17085;17807;9139;17323;2025;2283;1328;923;21133;381;1548;3604;585;5222;-;16;9;7;-;2;-;4;7;4
"230670 Jaguaretama";369;692;2639;2337;2337;2758;9574;5863;5756;13670;5513;5806;6569;101;2877;15688;61;57;8292;577;3509;1722;5292;1119;96;1064;-;-;4080;67189;-;2688;1859;2998;557;87;7;393;161974;152;2085;3791;1;2114;-;-;-;-;-;-;-;-;-;-
"230680 Jaguaribara";6;621;2371;2053;1670;2501;10353;4585;3967;7776;2244;3520;2923;51;1910;10074;-;41;3004;481;3;946;1189;659;34;30;3;1;-;26648;22;2614;369;1731;168;97;-;72;-;32;711;893;15;1460;-;6;-;-;-;1;-;-;1;-
"230690 Jaguaribe";9276;2579;7364;6429;6147;7703;34070;19230;16961;31529;3297;9322;10725;452;7383;38278;68;88;4420;828;37;525;2088;2160;53;29;11;1;-;87133;-;6472;1486;9158;1971;82;-;1026;-;3;3954;4729;40;6081;-;-;-;-;-;-;-;-;-;-
"230700 Jaguaruana";604;2289;6023;5020;4359;5132;22258;12184;10628;20144;4866;8941;9650;1057;12854;49133;10;191;26645;2831;2096;2088;3452;4592;116;1095;46;4;78;118887;5547;29372;2279;4862;3084;693;-;947;60231;365;3130;4449;169;16326;1;52;31;21;-;11;-;1;12;53
"230710 Jardim";2213;3444;7929;6137;5002;5181;18114;7358;7345;15666;5586;9584;3986;371;7355;41670;127;231;7204;1591;462;799;2189;2237;131;228;2;-;205;73423;13461;8242;5820;14145;1303;132;219;2811;70802;201;5894;6814;99;8107;-;-;-;-;-;-;-;-;-;-
"230720 Jati";95;1061;2483;2447;2369;2576;5315;4095;4225;5859;4370;1397;1272;167;4058;15425;69;27;2280;421;556;485;1972;999;168;34;35;1848;1188;29249;21954;10150;7872;5483;2222;2356;4256;6834;14814;873;953;1108;181;1755;-;1;-;-;-;1;-;-;-;6
"230725 Jijoca de Jericoacoara";178;1876;4898;3244;2764;3678;16507;6424;4979;9136;5060;6690;3886;282;6179;13820;48;45;17374;866;356;767;2839;2933;49;63;-;284;228;53128;21792;7391;5057;7990;1069;424;259;324;93662;401;1679;4114;4;3419;-;9;4;2;-;-;-;1;3;7
"230730 Juazeiro do Norte";969;22383;45588;43194;42810;47693;187254;98457;98942;213580;56352;66106;29160;4327;84858;310917;3976;1516;132320;19923;5835;14288;69717;85527;561;3767;46;1613;4337;1140413;6656;29206;27496;50885;15400;3484;895;7020;314966;4525;22885;26480;3045;24678;-;60;32;6;-;13;-;37;5;580
"230740 Jucás";3;1538;3342;3218;3131;4006;13905;7393;6509;12565;7439;6925;5943;257;4117;17172;888;122;5918;170;747;342;3107;1649;35;76;16;-;2354;65002;16404;13155;7865;5578;1847;846;107;173;52;361;407;2505;69;4563;-;-;-;-;-;-;-;-;-;-
"230750 Lavras da Mangabeira";81;2126;6154;6323;5987;6420;18024;9606;9472;17411;6501;7190;5839;1693;5339;22302;550;245;23255;1157;1302;2144;8202;3483;310;246;625;3164;12;54989;83968;27906;4649;17048;1386;1082;604;405;1738;417;3664;7195;69;203571;-;25;25;22;-;6;-;60;2;123
"230760 Limoeiro do Norte";7;3932;9677;7309;7020;9421;41491;21509;19340;31470;8759;14841;12122;1806;11764;69789;1085;429;30545;3019;1168;3855;11908;7120;70;2766;6;796;12;146552;44722;13358;3237;6227;4090;788;217;1090;31226;1108;4750;7379;2201;11111;-;37;14;6;-;3;-;13;9;49
"230763 Madalena";80;849;2488;2537;2230;2846;8169;5484;4617;8021;4631;4517;4144;378;6067;18133;124;42;1328;333;523;1392;1257;815;119;168;30;18;25;41522;5264;11198;4372;5929;722;3679;194;2292;4683;590;3391;5128;54;7876;-;22;11;7;1;4;-;12;1;-
"230765 Maracanaú";3277;12970;35699;29910;28837;35453;135104;76223;76596;120580;49753;48061;27846;1781;61801;182611;2530;5765;49643;15614;2179;5473;29945;33535;492;3007;5;-;-;372424;14601;51976;59481;54760;17532;6088;66;4694;766568;4011;19959;18837;3529;10959;1;174;62;14;-;13;2;27;10;490
"230770 Maranguape";413;7318;14481;13211;12335;13053;45925;23881;22289;38072;28832;25988;16592;1658;27213;83870;841;1036;26085;4232;3511;5397;10211;15342;683;2780;7;59;153;265999;13471;37532;29880;26487;9342;6265;418;1775;10411;1788;7210;15240;2916;12653;-;82;22;24;-;22;-;53;6;187
"230780 Marco";6456;3279;8505;5428;4361;5337;18848;6518;4903;11039;9932;12134;5711;374;9702;27949;83;244;23952;1651;4783;3034;2434;4391;251;210;5;3;369;102642;22990;9082;5680;6670;3550;1828;3617;4418;45281;1153;1704;8724;1415;10716;-;23;10;3;-;3;-;24;2;52
"230790 Martinópole";20;596;2265;1990;2159;2186;7335;3257;2545;4658;3155;3291;2109;1083;4023;17701;214;88;1911;542;1417;1082;947;587;635;332;2;9951;2272;55669;11599;2048;3631;665;146;466;-;288;45;327;350;1839;134;2475;-;5;1;5;-;1;-;6;4;65
"230800 Massapê";-;3770;8202;6413;5597;5639;19015;9668;7964;15895;12877;9936;3766;568;12805;47439;349;387;3946;709;980;1243;1522;1763;755;159;47;6336;1030;124905;2495;13590;10096;3778;1878;5044;29;1583;70640;743;2416;8729;262;10864;7;38;7;2;-;13;1;33;12;131
"230810 Mauriti";20;6643;14441;11536;10218;12126;38405;15286;13130;20063;11040;15401;7279;406;6018;28253;385;216;11862;1907;746;2815;5709;2195;263;1353;17;141;10;84418;8490;17430;1429;5490;1987;651;24;7752;95377;428;2939;4050;97;6949;1;17;9;3;-;1;-;-;3;62
