 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2013-2015
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"220710 Olho D'Água do Piauí";785;445;512;540;444;549;2688;1972;1901;3516;1028;530;1177;100;1024;5872;23;5;3147;474;386;387;957;793;191;107;3;-;87;8646;1865;6041;2266;7848;583;166;260;132;3689;60;742;917;127;736;-;1;2;-;-;1;-;1;-;4
"220720 Padre Marcos";219;707;1260;1631;1743;2086;4221;4180;4701;6487;1980;1584;2683;56;4581;17493;29;23;3624;385;792;500;940;939;315;140;4;-;947;26971;2037;743;420;2576;263;94;65;159;11897;173;2243;2653;464;2560;-;2;2;-;-;2;-;-;-;1
"220730 Paes Landim";-;598;1146;1036;986;1155;2583;1327;1360;1924;783;1256;395;4;733;2009;39;11;2420;80;698;244;635;116;22;143;1;-;-;2322;3122;264;4;150;44;-;17;88;8;68;1203;879;32;1961;-;-;1;1;-;-;-;-;1;-
"220735 Pajeú do Piauí";5;199;790;948;836;801;3028;1867;1786;3184;3490;596;973;52;692;3358;2;6;3383;495;350;153;1015;781;138;33;1;99;27;4325;11137;2050;455;3480;220;386;194;55;13;75;621;565;561;613;2;4;4;1;-;-;-;-;-;-
"220740 Palmeira do Piauí";959;699;948;887;810;1090;3061;1829;1986;3099;1789;1692;930;549;3363;5684;175;26;26800;1041;1470;1167;-;1450;406;648;3;-;-;11803;133862;2660;316;4360;313;150;296;2999;1339;245;989;1460;406;1902;-;-;-;-;-;-;-;-;-;-
"220750 Palmeirais";43;741;2193;2027;1580;1630;4832;2331;2565;3770;6902;2082;1238;124;2302;7728;65;16;3023;311;701;777;1133;309;45;223;2;6;386;20375;18712;1801;509;1229;326;369;213;418;12374;275;2051;2422;62;2304;-;-;-;-;-;-;-;-;-;-
"220755 Paquetá";23;352;886;793;724;924;3590;2134;1904;2737;1250;1184;1297;38;473;4524;10;32;12627;980;256;386;3260;389;157;37;30;-;642;6499;3658;2381;1200;1682;635;143;50;214;13;174;318;374;24;1163;-;-;-;-;-;-;-;-;-;8
"220760 Parnaguá";276;1228;2997;2502;2352;3232;10256;4003;3942;5094;4122;3372;1776;196;1518;5164;241;88;7847;674;739;922;2729;608;727;348;-;-;13;14889;591;1254;773;4330;256;65;137;129;172;241;933;1920;52;1700;-;-;-;-;-;-;-;-;-;-
"220770 Parnaíba";1877;4246;12401;11753;10067;12504;43264;23316;23568;43736;35509;15940;9855;1580;130986;47287;1058;1325;72111;16017;7362;4859;15122;25185;572;2166;10;65;520;105158;16610;9737;6496;13746;3812;885;201;3532;7630;2851;12165;14934;949;10946;8;98;18;6;-;4;-;3;2;7
"220775 Passagem Franca do Piauí";-;560;2063;1918;1587;1816;6207;2910;2940;4438;2114;1797;2054;50;1621;6945;51;23;10747;644;319;605;1380;1185;226;138;1;-;2130;12494;1643;3455;1349;7256;389;86;144;69;17913;80;1728;2236;102;2141;-;27;4;3;-;-;-;9;2;1
"220777 Patos do Piauí";1;726;1848;1958;1457;1608;7548;3926;4216;6116;2272;1344;1294;4;1173;4542;324;16;15179;1640;1255;680;6311;3876;477;179;52;-;639;12995;19913;7485;890;11320;748;54;244;193;3086;181;2421;2551;391;3254;-;4;9;-;-;1;-;6;-;1
"220779 Pau D'Arco do Piauí";-;113;733;694;768;641;2264;998;1278;1697;1367;311;365;67;639;2916;20;-;2684;185;242;220;71;248;9;20;-;132;256;4974;30;1603;369;1471;187;81;16;73;2;37;1407;1411;320;1190;-;-;-;-;-;-;-;-;-;-
"220780 Paulistana";-;794;1783;1683;1461;1877;8183;3747;3237;5226;3060;3345;2285;13;939;4090;95;40;8394;892;510;745;2862;513;38;53;5;-;-;12812;853;850;758;1350;225;248;76;89;6;111;535;868;15;569;-;3;1;2;-;-;-;-;-;2
"220785 Pavussu";-;443;903;737;648;861;3342;1737;1772;3595;1002;844;448;4;711;2995;29;12;1717;119;175;218;190;155;28;36;-;-;22;984;2084;849;904;3246;376;139;120;33;2;70;1500;1469;253;1389;-;3;1;-;-;-;-;-;-;-
"220790 Pedro II";4;764;2191;2317;2168;2596;8427;5146;6294;11947;10801;4197;6111;281;5190;16821;38;50;14208;1630;990;1223;2884;1708;121;174;-;-;-;58373;30127;2658;472;2749;1995;781;1715;7318;20838;717;2624;3131;3126;3879;10;31;20;-;1;6;-;1;-;5
"220793 Pedro Laurentino";41;244;789;796;552;687;3416;1715;1503;1962;138719;681;480;2;1143;7036;90;1;3526;110;112;261;643;286;-;-;-;-;5397;29458;5071;684;240;3596;434;176;674;172;1086;75;249;481;19;469;-;-;-;-;-;-;-;-;-;-
"220800 Picos";773;3026;8762;8754;8968;12665;51502;28371;26008;40199;32030;20190;18825;1378;17185;59856;589;208;147951;18408;7884;6319;61561;17014;603;806;613;4350;132396;195233;187061;24014;18535;20660;13452;10053;301;8638;57150;3524;15188;18802;6988;23506;1;103;51;4;1;24;-;17;1;65
"220810 Pimenteiras";273;1340;3009;2853;2452;2891;11512;5954;5289;8609;3125;1945;2311;99;1378;4939;182;42;3183;72;559;149;1143;467;183;69;10;52;99;6109;20614;626;182;336;1352;43;1927;1770;2855;309;615;692;7;724;-;2;2;-;-;-;-;-;-;-
"220820 Pio IX";134;1046;2795;2303;1939;2523;10577;6200;4755;6568;4547;4153;3663;400;2634;11136;335;64;6531;2038;223;1008;4484;1904;202;849;11;-;1;8776;7054;1584;614;2690;705;279;3;247;3;289;1683;1884;55;2298;-;4;2;3;-;1;-;4;-;2
"220830 Piracuruca";187;1455;4288;4390;3960;5702;22343;11468;11448;20505;232885;9026;7616;630;6365;24575;196;137;62830;3690;3548;2103;12782;11253;50;182;3;-;335;60282;4769;3240;1727;40012;859;140;-;5246;789;579;3283;4336;83;5144;1;21;17;1;-;5;-;11;1;-
"220840 Piripiri";293;3580;7858;7333;6960;8871;27964;17985;20717;38879;17182;19027;13947;725;15527;52061;625;537;86146;4663;4997;4348;16290;14558;193;379;10;436;1522;89118;17041;11760;3387;5924;8490;2087;4424;5452;44418;2456;5141;8020;1754;12252;2;42;23;6;1;18;-;1;17;3
"220850 Porto";976;895;2449;1606;1065;1918;6857;2288;2174;3438;152750;5414;1286;284;3285;12664;263;107;2738;719;949;1258;1553;715;83;110;16;131;271;22130;2770;810;422;5211;161;598;64;375;351;394;3094;5991;771;5846;-;2;1;-;-;1;-;-;-;1
"220855 Porto Alegre do Piauí";1342;561;1684;1500;1047;1410;5999;2430;2247;3715;202;812;628;9;2213;16724;-;-;2116;1003;968;2106;1527;711;222;5670;7;-;246;3505;33711;2814;1242;15419;288;12166;171;1970;3652;236;959;954;858;2046;-;-;1;-;-;-;-;-;-;-
"220860 Prata do Piauí";1279;133;504;660;520;569;1699;912;1104;1387;2185;956;561;1;1051;4865;26;-;1400;83;62;108;467;613;70;70;3;-;-;2581;1974;528;169;571;241;18;23;45;867;141;906;1107;38;1699;-;2;-;-;-;-;-;-;-;-
"220865 Queimada Nova";9;489;1144;1073;958;1495;5063;2348;2130;3814;1531;1659;727;-;940;2720;7;39;1864;17;213;198;1219;427;18;44;94;30;167;7738;150810;3499;1032;9137;405;126;148;127;50;132;65;382;465;266;-;-;-;-;-;-;-;-;-;-
"220870 Redenção do Gurguéia";22;956;2580;2149;1747;2104;7514;2874;3351;4967;4743;3107;549;160;2113;7849;290;11;5775;96;216;729;111;496;225;152;-;560;1534;14696;1813;242;2424;400;40;415;94;532;1;278;1676;1979;41;1760;-;4;1;1;-;-;-;-;-;1
"220880 Regeneração";1566;1509;4070;3165;2597;3079;13232;7155;9354;21022;12504;6713;5596;269;7662;37032;220;117;27474;1302;2205;2261;5139;3736;396;567;18;2;85030;52850;12734;6315;947;4824;1275;560;7;1481;32827;617;10877;11179;1703;11587;-;31;20;1;1;3;-;4;3;18
"220885 Riacho Frio";9;740;1791;1511;1175;1282;5263;1881;2147;2584;632;1824;347;192;799;2959;55;4;6788;57;246;391;240;55;48;31;-;-;-;4890;1940;1994;903;3824;343;311;157;92;31;107;2610;896;102;668;-;3;5;-;-;-;-;-;-;-
"220887 Ribeira do Piauí";-;233;635;601;553;873;2564;1695;1608;2575;1956;729;572;11;402;2527;84;17;1322;38;135;154;458;31;25;14;46;-;208;5375;4001;1148;662;2605;350;91;43;85;1432;96;546;812;1215;1292;-;1;-;-;-;-;-;2;-;3
"220890 Ribeiro Gonçalves";3;1391;3417;3264;2880;3560;8185;4595;4349;5956;3991;3343;1178;72;2393;6909;92;24;4090;392;342;826;1037;943;1143;1180;16;4;303;14575;6205;3635;852;4332;411;187;400;519;3227;372;1639;2667;1362;770;-;-;1;-;-;-;-;-;-;-
"220900 Rio Grande do Piauí";103;663;1447;1141;884;1083;3883;2389;2500;4152;1291;1592;2305;246;728;2783;35;8;5495;287;458;395;861;723;37;361;-;-;-;1179;5975;1182;252;1492;282;87;82;54;836;205;810;486;39;918;-;-;-;-;-;1;-;-;-;6
"220910 Santa Cruz do Piauí";1062;796;2541;2392;2054;1967;6791;3036;2972;4627;710;1740;1294;-;1176;6169;9;21;25470;1933;60;790;4939;676;93;59;8;-;218;9271;7884;2704;2753;10293;829;-;167;100;1115;175;465;674;-;947;-;-;-;-;-;-;-;-;-;-
"220915 Santa Cruz dos Milagres";355;350;1276;1067;837;898;3156;1727;1374;2582;2876;652;546;-;300;2863;46;9;2307;217;127;151;1888;567;11;10;-;-;3;5348;452;1962;1212;6926;306;632;107;16;155;106;378;378;-;378;-;1;1;-;-;-;-;-;1;-
"220920 Santa Filomena";2;424;1432;1392;1058;1187;4103;1567;1359;1578;986;1928;155;9;246;399;38;14;4;11;47;94;48;42;51;37;-;-;576;7508;4306;97;23;814;20;1529;3;6;-;53;155;119;1;240;-;1;-;-;-;-;-;-;-;-
"220930 Santa Luz";-;1665;1861;2151;2080;2244;4201;3134;3491;4281;4930;2911;1223;69;3526;12108;92;20;2440;1910;1809;1222;12056;736;797;343;39;3;1592;12558;1294;9265;7889;16826;1177;159;209;251;209;176;1325;1606;356;1287;-;-;1;-;-;-;-;-;-;5
"220937 Santa Rosa do Piauí";48;216;809;822;786;964;3526;1887;2099;2590;1816;944;640;32;847;5510;56;-;49;149;133;554;4898;873;26;31;2;172;623;4265;5790;9303;1333;5699;552;125;274;336;2106;185;1812;1908;552;1456;-;8;7;10;-;1;-;-;1;-
"220935 Santana do Piauí";-;169;564;611;534;769;2920;1491;1215;2473;586;868;637;133;212;1182;12;28;7368;385;517;543;1046;157;11;11;71;-;-;3489;507;3140;762;830;374;38;67;214;18;190;746;760;-;881;-;4;1;-;-;2;-;-;-;2
"220940 Santo Antônio de Lisboa";-;209;559;544;705;1802;4400;2750;2436;3536;5070;2110;1321;26;2224;6202;83;19;699;1174;874;773;5635;195;62;3;3;-;-;26911;14081;2288;836;1073;409;70;-;196;45;227;1574;1812;92;199;-;6;4;1;-;-;2;-;-;1
"220945 Santo Antônio dos Milagres";-;400;1282;1069;671;1000;4064;1368;1223;1842;1468;895;674;33;804;1945;40;71;2;190;-;175;2346;748;174;47;65;-;-;3604;6911;1376;423;4496;125;98;64;36;6275;98;431;305;195;1515;-;1;2;-;-;1;2;-;-;-
"220950 Santo Inácio do Piauí";21;340;794;819;752;722;2555;1529;1515;2721;3852;759;544;66;2521;11943;113;244;-;-;526;-;-;-;-;36;-;-;964;20006;6039;1132;1423;4400;296;104;18;84;5;135;626;626;-;1368;-;1;-;-;-;-;-;-;-;-
"220955 São Braz do Piauí";9;306;752;618;553;687;3322;1530;1405;2466;1222;1430;508;336;823;2402;1;35;2254;392;479;405;1525;210;151;107;-;5;19;4337;1907;846;406;4273;578;509;71;257;1662;108;370;341;40;531;-;1;-;-;-;-;-;-;1;-
"220960 São Félix do Piauí";498;124;492;481;455;507;2297;1328;1371;2322;158;374;926;-;1340;130498;29;7;1113;82;800;95;321;1824;90;72;3;-;784;8461;6393;2506;422;3465;227;21;49;97;389;59;563;557;46;553;-;9;9;-;1;3;-;1;-;1
"220965 São Francisco de Assis do Piauí";162;441;1141;1002;841;1161;4535;1908;1544;2639;1314;981;943;13;902;6391;18;1;2913;172;129;425;165;146;193;145;19;4;1;8586;23;1038;717;3969;154;73;108;122;64;101;480;767;33;1453;-;2;2;-;-;-;-;-;-;-
"220970 São Francisco do Piauí";5;312;894;927;1010;1155;3571;1938;2098;3387;830;1217;1083;41;837;2479;67;9;7945;82;122;348;854;296;40;31;-;-;-;5351;8806;2068;133;388;130;70;6;133;73;185;499;602;360;479;-;1;-;-;-;-;-;-;-;-
"220975 São Gonçalo do Gurguéia";-;101;629;527;555;449;1655;653;491;782;406;331;575;25;247;578;9;8;19;-;25;183;47;15;27;16;2;150;42;768;87;291;290;732;64;79;35;60;29;48;158;467;67;432;-;1;2;-;-;-;-;-;1;-
"220980 São Gonçalo do Piauí";94;622;2053;1814;1541;1710;5494;2655;2525;3796;891;1433;1116;1;1164;2869;17;7;3218;246;163;312;324;289;146;177;-;-;-;6941;52;503;295;818;97;97;3;83;372;106;993;945;15;726;-;1;3;-;-;-;-;-;-;-
"220985 São João da Canabrava";229;137;642;698;854;912;2471;2026;2043;3093;525;628;927;825;1848;8059;32;4;3992;616;180;244;1026;229;279;88;5;-;86;8923;128035;1631;985;1919;208;382;85;90;15;70;314;398;203;563;-;9;7;-;-;-;-;-;-;1
"220987 São João da Fronteira";-;408;1139;1105;1052;1156;3594;1630;1373;2028;1575;1415;732;24;1198;3429;2;15;552;39;35;359;113;61;46;41;-;-;-;6008;72;1764;488;2628;293;183;147;169;5625;148;450;1044;78;511;-;-;1;1;-;1;-;-;-;-
"220990 São João da Serra";-;560;1784;1658;1234;1363;6024;3111;3122;5148;5521;1556;1822;11;2065;13188;70;3;1795;52;429;149;134;717;45;96;-;136;1;19793;7357;1854;490;3025;442;128;41;465;43;350;2394;3066;246;2699;-;1;3;1;-;1;1;1;1;-
"220995 São João da Varjota";8;675;2061;1719;1203;1471;6743;2852;2561;4019;2696;1627;997;10;1136;6636;5;38;7231;517;286;766;796;529;638;268;7;34;1314;8845;4928;6573;1925;4072;512;223;86;234;18;128;821;1347;722;913;-;-;-;-;-;-;-;-;-;3
"220997 São João do Arraial";6;1650;4844;4431;3400;3857;10057;4452;4362;7182;5816;2779;3085;350;4371;13760;34;28;2272;1044;1250;902;4353;1020;720;858;29;15;684;20862;9049;3744;3554;15811;619;559;392;4250;3778;537;2666;3109;2245;2588;1;10;3;2;-;1;-;-;4;-
"221000 São João do Piauí";16;2276;5191;4575;4183;5925;23336;11791;11976;21525;9587;6661;4000;293;5455;25115;689;542;27281;1100;1052;1644;4981;1262;59;46;3;2;1;47922;1385;279;773;1906;201;199;11;1517;6706;711;6301;6430;290;8843;-;7;3;-;-;-;-;1;-;14
"221005 São José do Divino";72;732;2332;2108;1948;2088;7376;3620;3066;3930;2889;1053;953;3;2346;12965;8;20;616;243;107;45;4445;4377;56;634;27;-;129;17149;3388;9174;191396;231077;634;262;270;515;2701;221;1416;1473;4;2077;5;2;1;3;-;-;-;-;2;-
"221010 São José do Peixe";-;278;929;1106;734;1312;4090;1697;1475;2432;2450;1078;368;57;1705;3571;36;6;9749;109;213;608;-;206;204;66;-;-;-;912;124;1248;639;1266;365;26;70;12;2;174;349;417;118;130;-;-;-;-;-;-;-;-;-;-
"221020 São José do Piauí";977;406;725;734;649;969;3632;2041;2367;7690;1160;1772;873;37;2664;5641;13;16;6420;909;399;715;2365;559;322;212;39;22;8;10632;467;6832;1538;7468;555;741;354;379;104;275;1611;2861;206;4355;-;-;-;-;-;-;-;-;-;2
"221030 São Julião";3;547;1432;1637;1807;2269;4516;3383;3211;3492;1462;1522;616;294;749;3755;53;67;79;360;458;585;2103;191;258;189;7;69;37;3998;1049;1511;669;2557;461;35;29;172;38;165;1327;2253;2080;3394;-;15;12;-;-;2;-;-;-;9
"221035 São Lourenço do Piauí";-;439;1163;851;638;790;3562;2160;2184;4721;2200;1361;564;113;1602;13710;66;6;8795;692;220;654;1116;182;46;16;7;-;40;12823;8245;253;115;2297;194;105;69;150;3;149;964;954;17;972;-;6;2;-;-;-;-;-;-;2
"221037 São Luis do Piauí";120;151;380;418;396;489;1438;957;800;911;458;390;391;100;457;1413;31;8;267;385;339;243;4652;340;173;51;5;9;376;2492;2242;331;285;675;87;44;28;76;51;108;351;268;71;549;-;8;3;-;-;1;-;-;-;-
"221038 São Miguel da Baixa Grande";-;152;722;556;537;476;2409;1005;1236;1451;1823;352;146;72;408;1607;146;-;422;28;157;85;62;272;38;19;1;-;-;1492;-;370;357;1429;122;33;17;24;1;24;186;184;-;156;-;3;-;-;-;1;-;7;-;-
"221039 São Miguel do Fidalgo";-;360;1420;1553;1239;1725;4818;2189;2296;2540;771;413;868;45;123;1755;13;7;2091;178;1153;150;839;136;112;117;-;-;6;2156;166;453;611;4819;197;42;58;45;848;35;118;61;-;133;-;-;-;-;-;-;-;-;-;-
"221040 São Miguel do Tapuio";175;1632;3689;3035;2936;3055;13384;7024;8234;13463;9102;4714;16630;97;3783;25429;298;55;22003;1031;1797;1270;24582;1573;30;111;2;-;754;42162;140373;3490;184;1668;342;538;213;5088;20688;542;5424;5468;841;5452;-;4;-;-;-;-;-;-;1;-
"221050 São Pedro do Piauí";173;456;2000;2018;1855;1811;6393;3549;3852;6801;4033;2508;1303;291;2488;10952;26;23;24879;2477;535;690;4808;4586;38;76;4;-;2;13395;2996;1897;492;2601;334;19;3;125;1248;305;2880;2939;36;2533;-;9;4;-;-;1;-;4;2;9
"221060 São Raimundo Nonato";-;3129;6421;5079;4009;6027;22997;10742;10141;16586;14814;12624;3744;781;8754;43579;459;280;167113;1890;1903;3971;3602;1366;343;165;9;15;161;310140;1960;5245;2546;6261;3231;871;2;641;113;823;5475;6626;186;5176;-;-;10;-;16;18;25;10;-;-
"221062 Sebastião Barros";-;626;1643;1374;880;1486;5386;2266;1788;2472;3944;1642;243;6;508;998;48;22;494;200;130;1381;1171;331;43;48;-;-;-;5516;188;1763;1041;5044;175;2;98;2;-;35;218;274;3;239;-;1;-;-;-;-;-;-;-;-
"221063 Sebastião Leal";400;1111;2035;1455;2268;1371;5441;2705;2091;3479;4873;1374;1265;55;3354;14915;197;24;306;315;754;764;11246;494;339;298;88;224;319;5886;2547;5764;3481;12914;771;747;326;73;14;121;2385;2110;1773;8531;-;7;3;3;-;-;-;-;1;-
"221065 Sigefredo Pacheco";633;590;1318;1479;1442;1576;4404;2849;3341;4672;1959;2082;1812;78;2456;9062;1688;50;4886;1155;1830;819;791;1897;96;233;1;2;-;12962;484;3772;2221;6137;1122;447;406;682;24;189;2749;2698;128;512;1;2;1;2;1;-;-;1;2;3
"221070 Simões";239;806;3877;3151;2322;2903;12357;5590;4409;8034;4672;4641;2852;263;1634;7786;116;39;215;41;35;229;309;-;-;-;7;2;52;20471;28103;5162;993;5606;511;161;2;1661;725;246;4218;5490;54;5865;-;10;2;1;-;1;-;8;5;-
"221080 Simplício Mendes";41;1451;2592;2077;1832;3145;10363;6085;7316;15290;7127;3644;2651;79;3529;15444;343;45;11385;742;1191;565;2739;1098;28;44;-;-;-;19806;1012;348;157;1179;100;83;10;469;394;303;3822;3483;554;4228;-;3;1;-;-;-;-;4;-;-
"221090 Socorro do Piauí";5;237;480;592;474;590;1643;1119;1111;1243;4248;631;1397;63;652;2661;124;383;3462;403;1109;330;360;1420;104;1287;7;401;1501;4719;224;1259;1104;2069;506;176;41;63;56;139;161;709;58;563;4;5;15;1;1;3;1;-;3;-
"221093 Sussuapara";367;627;1443;1533;1340;1550;6328;3140;2813;4638;2691;2041;1857;159;2050;8603;47;4;8924;2863;982;1242;8138;1740;198;96;22;22;584;18013;17414;3145;814;2687;974;569;149;590;3929;384;1984;2378;227;1783;-;15;4;-;-;-;-;-;-;3
"221095 Tamboril do Piauí";7;232;314;277;256;395;1502;936;1009;1763;1341;936;290;165;244;2830;11;187;4066;100;335;134;460;262;171;183;29;12;950;2954;3981;2198;973;3993;535;269;408;285;699;212;862;962;236;1425;-;7;-;-;-;1;-;-;-;-
"221097 Tanque do Piauí";-;349;1015;965;931;911;3096;1830;1829;3528;1810;860;673;1020;1119;4761;8;13;12106;43;533;62;192;214;5;3;1;3741;594;8056;1645;2182;1679;5532;230;64;84;158;254;95;404;222;322;212;-;3;2;-;-;-;-;-;-;-
"221100 Teresina";9155;19906;42506;45630;43031;49124;201947;113706;129522;232749;141371;68284;51262;4935;114663;779311;6030;4683;1601057;64910;34730;18667;136292;234982;1007;4414;1145;7594;2160;546624;95015;25733;11759;27917;9182;2040;4873;20502;162397;10147;50032;55641;8842;60702;14;261;161;53;9;56;3;43;104;161
"221110 União";471;3627;8722;8446;6983;8731;30810;14252;15997;29875;22933;15484;9364;841;14114;52545;1017;176;43849;4907;2885;4177;12060;13226;406;663;22;33;35;307929;24513;14297;3840;13312;3710;456;52;2818;44068;1029;8315;10083;2354;13023;3;39;10;3;-;4;4;80;1;40
"221120 Uruçuí";1378;1899;4851;4204;3514;4727;13843;6602;6278;9327;13205;6828;2883;615;3461;22221;498;196;7435;734;814;2236;710;1077;128;331;6;-;110;38218;9971;3659;1551;8957;1531;608;62;309;27;248;1566;1709;50;1506;-;3;1;-;-;2;3;-;4;18
"221130 Valença do Piauí";108;1227;3482;3321;2947;3628;13257;7828;8352;16608;6989;5038;4259;1428;7928;21902;160;63;31964;2784;2528;1159;2987;3544;77;283;8;125;254;33182;1773;6532;2039;4526;1627;398;24;1017;310;306;2396;3365;20;3602;4;25;17;1;-;2;-;1;1;4
"221135 Várzea Branca";618;860;2365;1659;1123;1453;6874;3359;2835;3301;879;1970;713;562;343;1699;1;27;4531;280;439;790;678;1085;756;1269;387;-;-;11344;236;2157;1104;4875;635;355;96;225;1;201;236;1266;-;652;-;10;2;-;-;1;-;-;1;2
"221140 Várzea Grande";-;367;1072;964;956;878;3390;1902;2226;3888;817;1105;1231;51;2212;8343;134;28;6255;184;959;367;4577;160;67;342;-;-;7;9144;165;4344;655;6424;546;173;269;311;3;113;1295;1341;432;1363;-;2;-;-;-;-;-;-;-;-
"221150 Vera Mendes";5;229;873;1179;1399;1717;6791;3170;3313;5255;371;958;805;-;928;2978;38;37;6453;919;788;588;10613;3109;4;15;6;1754;151;3655;6472;1014;392;4822;247;64;90;130;6700;100;536;511;672;1496;-;-;-;-;-;-;-;-;-;-
"221160 Vila Nova do Piauí";-;537;2209;1266;1079;1320;5354;3664;3761;5211;4064;725;1408;57;963;7422;16;-;19402;579;261;353;1605;1014;140;167;463;-;1279;7832;8095;4187;1035;6458;524;324;203;335;7439;291;1035;1035;400;1674;-;5;-;-;-;-;-;-;-;1
"221170 Wall Ferraz";-;1044;1889;2404;2932;3145;5871;4216;4399;5310;523;404;1507;-;698;12323;1;10;-;170;335;511;-;19;-;5;-;-;61;15565;8066;3695;2853;2102;439;6;6;144;4973;141;667;706;311;706;-;-;-;-;-;-;-;-;-;-
"230010 Abaiara";477;2601;4229;2861;2661;3391;12210;5483;4383;7565;5975;3481;2907;16;4585;17430;29;29;741;626;1161;398;2575;963;68;582;-;-;538;65359;5292;5104;254;4408;561;218;19;588;8147;298;1224;2151;21;4065;-;30;7;1;-;3;-;-;-;10
"230015 Acarape";18;1026;3463;3195;2528;3579;13932;7382;7238;10778;5870;5119;3467;68;5047;16358;133;96;12431;1144;1347;2095;3720;3595;125;745;9;-;26;43029;7181;8507;1701;3754;837;3335;39;1494;407;537;2339;2666;1508;6681;-;22;5;1;-;4;-;2;5;3
"230020 Acaraú";116;6952;14680;11565;9438;13511;52100;23386;20994;41888;21769;22310;13117;1199;28472;58561;321;433;22659;5297;4314;4510;6666;10573;697;1337;15;3;20;158530;47933;36445;13017;20057;6544;1461;3120;3472;1589;1287;9423;11726;5162;20147;5;90;21;5;1;16;-;34;16;58
"230030 Acopiara";5;3233;7964;8294;7253;13696;32880;18773;16805;30135;12369;10139;10319;299;13128;65977;483;198;15461;1506;1203;1894;11976;5550;295;519;-;6;264;167498;5986;10441;3535;11197;3658;836;197;1080;4804;3;4291;8385;198;7550;-;14;10;1;-;4;-;55;1;2
"230040 Aiuaba";556;1501;3517;2991;2686;3703;14385;7356;6930;13819;4750;3781;2619;357;4120;15341;195;101;12634;1453;1019;636;3601;1572;121;237;166;-;14;30400;5695;5065;2134;22382;864;1836;125;1829;4175;490;1899;3268;507;3019;-;90;10;1;-;-;-;3;3;9
"230050 Alcântaras";24;988;2736;2098;1471;2428;9734;4312;4022;8337;1842;3190;828;54;2813;9420;58;69;3139;613;122;549;5848;622;60;75;1;-;-;38907;2297;4721;776;4471;472;1221;49;162;9;273;772;1566;211;3145;-;9;2;-;-;8;-;-;-;9
"230060 Altaneira";18;625;1367;1522;1457;1917;7888;3874;3727;6958;2098;2541;1486;59;2455;12127;89;83;1060;692;113;376;704;767;106;417;201;-;102;16972;754;2129;1266;2210;248;17;3;179;2085;56;2323;3033;63;1888;-;2;-;-;-;-;-;-;-;3
"230070 Alto Santo";199;1335;2043;1888;1788;2129;8348;3856;4146;6843;5325;4069;4514;137;2692;13018;15;28;679;84;494;991;6219;526;10;20;-;-;5;43918;16010;1798;1080;5159;580;536;-;1236;6135;284;719;2751;4801;1860;-;3;3;-;-;-;-;-;1;-
"230075 Amontada";98;2673;4566;3496;3085;5406;17034;8409;7101;18165;19681;12816;4676;357;8329;31282;906;156;32792;1180;850;2828;6053;4333;201;214;4;343;26;110244;12034;8418;2048;4958;1603;1457;69;1133;126;464;3106;6733;334;9382;-;14;3;3;1;1;1;2;2;6
